Date,Product,Unit,Max Price,Min Price,Avg Price
2023-07-21,Tomato Big(Nepali),KG,90.00,80.00,85.00
2023-07-21,Tomato Small(Local),KG,50.00,40.00,45.00
2023-07-21,Tomato Small(Tunnel),KG,70.00,60.00,65.00
2023-07-21,Potato Red,KG,50.00,48.00,49.00
2023-07-21,Potato Red(Indian),KG,36.00,35.00,35.50
2023-07-21,Potato Red(Mude),KG,42.00,40.00,41.20
2023-07-21,Onion Dry (Indian),KG,52.00,50.00,51.20
2023-07-21,Carrot(Local),KG,140.00,120.00,128.00
2023-07-21,Cabbage(Local),KG,15.00,10.00,12.33
2023-07-21,Cauli Local,KG,90.00,80.00,85.00
2023-07-21,Cauli Local(Jyapu),KG,100.00,90.00,95.00
2023-07-21,Raddish Red,KG,40.00,30.00,35.00
2023-07-21,Raddish White(Local),KG,20.00,15.00,17.50
2023-07-21,Raddish White(Hybrid),KG,25.00,20.00,22.50
2023-07-21,Brinjal Long,KG,50.00,40.00,45.00
2023-07-21,Brinjal Round,KG,70.00,60.00,65.00
2023-07-21,Cow pea(Long),KG,50.00,40.00,45.00
2023-07-21,Cowpea(Short),KG,70.00,60.00,66.67
2023-07-21,French Bean(Local),KG,60.00,50.00,55.00
2023-07-21,French Bean(Hybrid),KG,70.00,60.00,65.00
2023-07-21,Sword Bean,KG,180.00,150.00,165.00
2023-07-21,Soyabean Green,KG,90.00,80.00,85.00
2023-07-21,Bitter Gourd,KG,50.00,40.00,45.00
2023-07-21,Bottle Gourd,KG,70.00,60.00,66.67
2023-07-21,Pointed Gourd(Local),KG,60.00,50.00,55.00
2023-07-21,Snake Gourd,KG,40.00,30.00,35.00
2023-07-21,Smooth Gourd,KG,50.00,40.00,45.00
2023-07-21,Sponge Gourd,KG,60.00,50.00,55.00
2023-07-21,Pumpkin,KG,45.00,40.00,43.33
2023-07-21,Squash(Round),KG,60.00,50.00,56.67
2023-07-21,Okara,KG,60.00,50.00,55.00
2023-07-21,Christophine,KG,60.00,50.00,55.00
2023-07-21,Brd Leaf Mustard,KG,80.00,70.00,76.67
2023-07-21,Mustard Leaf,KG,60.00,50.00,55.00
2023-07-21,Onion Green,KG,90.00,80.00,86.67
2023-07-21,Mushroom(Kanya),KG,200.00,180.00,192.00
2023-07-21,Mushroom(Button),KG,380.00,340.00,362.50
2023-07-21,Asparagus,KG,300.00,250.00,275.00
2023-07-21,Neuro,KG,80.00,70.00,76.67
2023-07-21,Brocauli,KG,100.00,90.00,95.00
2023-07-21,Sugarbeet,KG,100.00,90.00,96.67
2023-07-21,Red Cabbbage,KG,80.00,70.00,75.00
2023-07-21,Lettuce,KG,80.00,70.00,76.67
2023-07-21,Celery,KG,150.00,120.00,135.00
2023-07-21,Parseley,KG,400.00,300.00,350.00
2023-07-21,Mint,KG,150.00,120.00,135.00
2023-07-21,Tamarind,KG,140.00,130.00,136.67
2023-07-21,Bamboo Shoot,KG,110.00,100.00,105.00
2023-07-21,Tofu,KG,120.00,110.00,116.67
2023-07-21,Apple(Fuji),KG,380.00,340.00,356.67
2023-07-21,Banana,Per Dozen,160.00,150.00,156.67
2023-07-21,Lime,KG,130.00,110.00,120.00
2023-07-21,Pomegranate,KG,400.00,380.00,393.33
2023-07-21,Mango(Maldah),KG,170.00,150.00,160.00
2023-07-21,Mango(Dushari),KG,160.00,150.00,155.00
2023-07-21,Mango(Calcutte),KG,80.00,70.00,75.00
2023-07-21,Grapes(Green),KG,500.00,450.00,475.00
2023-07-21,Grapes(Black),KG,580.00,550.00,565.00
2023-07-21,Water Melon(Green),KG,90.00,80.00,85.00
2023-07-21,Sweet Orange,KG,250.00,220.00,235.00
2023-07-21,Mandarin,KG,260.00,250.00,255.00
2023-07-21,Pineapple,1 Pc,180.00,150.00,165.00
2023-07-21,Cucumber(Local),KG,60.00,50.00,56.00
2023-07-21,Cucumber(Hybrid),KG,25.00,20.00,23.33
2023-07-21,Jack Fruit,KG,60.00,50.00,56.67
2023-07-21,Pear(Local),KG,70.00,60.00,65.00
2023-07-21,Papaya(Indian),KG,100.00,90.00,96.67
2023-07-21,Kiwi,KG,900.00,800.00,850.00
2023-07-21,Avocado,KG,600.00,500.00,550.00
2023-07-21,Ginger,KG,280.00,260.00,270.00
2023-07-21,Chilli Dry,KG,480.00,460.00,470.00
2023-07-21,Chilli Green,KG,180.00,170.00,176.00
2023-07-21,Chilli Green(Bullet),KG,200.00,180.00,190.00
2023-07-21,Chilli Green(Machhe),KG,60.00,50.00,56.67
2023-07-21,Chilli Green(Akbare),KG,400.00,300.00,350.00
2023-07-21,Capsicum,KG,80.00,70.00,76.00
2023-07-21,Garlic Green,KG,90.00,80.00,86.67
2023-07-21,Coriander Green,KG,120.00,80.00,102.00
2023-07-21,Garlic Dry Chinese,KG,280.00,260.00,268.00
2023-07-21,Garlic Dry Nepali,KG,230.00,210.00,220.00
2023-07-21,Clive Dry,KG,160.00,140.00,150.00
2023-07-21,Fish Fresh(Rahu),KG,320.00,310.00,315.00
2023-07-21,Fish Fresh(Bachuwa),KG,260.00,240.00,250.00
2023-07-21,Fish Fresh(Chhadi),KG,260.00,240.00,250.00
2023-07-21,Fish Fresh(Mungari),KG,330.00,320.00,326.67
