Date,Product,Unit,Max Price,Min Price,Avg Price
2026-05-01,Tomato Big(Indian),KG,100.00,80.00,90.00
2026-05-01,Tomato Small(Local),KG,60.00,50.00,53.67
2026-05-01,Tomato Small(Indian),KG,55.00,45.00,50.00
2026-05-01,Tomato Small(Terai),KG,55.00,44.00,48.17
2026-05-01,Potato Red,KG,27.00,22.00,24.50
2026-05-01,Potato Red(Indian),KG,23.00,22.00,22.50
2026-05-01,Onion Dry (Indian),KG,40.00,37.00,38.38
2026-05-01,Carrot(Local),KG,50.00,40.00,45.00
2026-05-01,Carrot(Terai),KG,30.00,20.00,25.00
2026-05-01,Cabbage(Local),KG,35.00,25.00,30.00
2026-05-01,Cabbage(Terai),KG,30.00,20.00,25.00
2026-05-01,Cauli Local,KG,40.00,30.00,35.00
2026-05-01,Cauli Local(Jyapu),KG,50.00,40.00,45.00
2026-05-01,Raddish White(Hybrid),KG,25.00,15.00,19.17
2026-05-01,Brinjal Long,KG,40.00,30.00,35.00
2026-05-01,Brinjal Round,KG,50.00,40.00,45.00
2026-05-01,Cow pea(Long),KG,80.00,60.00,70.00
2026-05-01,Green Peas,KG,50.00,40.00,45.00
2026-05-01,French Bean(Local),KG,30.00,20.00,25.00
2026-05-01,French Bean(Hybrid),KG,40.00,30.00,35.00
2026-05-01,French Bean(Rajma),KG,100.00,90.00,95.00
2026-05-01,Sword Bean,KG,120.00,100.00,110.00
2026-05-01,Soyabean Green,KG,180.00,150.00,165.00
2026-05-01,Bitter Gourd,KG,40.00,20.00,27.14
2026-05-01,Bottle Gourd,KG,30.00,15.00,22.50
2026-05-01,Pointed Gourd(Local),KG,80.00,70.00,75.00
2026-05-01,Pointed Gourd(Terai),KG,70.00,60.00,65.00
2026-05-01,Snake Gourd,KG,30.00,20.00,25.00
2026-05-01,Smooth Gourd,KG,40.00,30.00,35.00
2026-05-01,Pumpkin,KG,55.00,50.00,52.50
2026-05-01,Squash(Long),KG,30.00,20.00,26.25
2026-05-01,Squash(Round),KG,25.00,20.00,23.33
2026-05-01,Okra,KG,60.00,45.00,52.50
2026-05-01,Sweet Potato,KG,80.00,70.00,75.00
2026-05-01,Arum,KG,50.00,40.00,45.00
2026-05-01,Christophine,KG,60.00,50.00,55.00
2026-05-01,Brd Leaf Mustard,KG,50.00,40.00,45.00
2026-05-01,Spinach Leaf,KG,80.00,70.00,75.00
2026-05-01,Cress Leaf,KG,70.00,60.00,65.00
2026-05-01,Mustard Leaf,KG,30.00,20.00,25.00
2026-05-01,Fenugreek Leaf,KG,70.00,60.00,65.00
2026-05-01,Onion Green,KG,100.00,80.00,90.00
2026-05-01,Yam,KG,90.00,70.00,80.00
2026-05-01,Mushroom(Kanya),KG,200.00,180.00,190.00
2026-05-01,Mushroom(Button),KG,420.00,380.00,400.00
2026-05-01,King Oyster,Kg,320.00,300.00,310.00
2026-05-01,Lentinula Edodes,Kg,1000.00,800.00,900.00
2026-05-01,Asparagus,KG,500.00,400.00,450.00
2026-05-01,Neuro,KG,100.00,80.00,90.00
2026-05-01,Broccoli,KG,70.00,40.00,55.00
2026-05-01,Sugarbeet,KG,60.00,50.00,55.00
2026-05-01,Drumstick,KG,120.00,100.00,110.00
2026-05-01,Bauhania flower,KG,300.00,280.00,290.00
2026-05-01,Red Cabbbage,KG,50.00,40.00,45.00
2026-05-01,Lettuce,KG,80.00,70.00,75.00
2026-05-01,Celery,KG,160.00,140.00,150.00
2026-05-01,Parsley,KG,320.00,300.00,310.00
2026-05-01,Fennel Leaf,KG,80.00,70.00,75.00
2026-05-01,Mint,KG,110.00,100.00,105.00
2026-05-01,Turnip A,KG,50.00,40.00,45.00
2026-05-01,Tamarind,KG,180.00,170.00,175.00
2026-05-01,Bamboo Shoot,KG,150.00,130.00,140.00
2026-05-01,Tofu,KG,150.00,130.00,140.00
2026-05-01,Gundruk,KG,300.00,250.00,275.00
2026-05-01,Apple(Jholey),KG,250.00,220.00,235.00
2026-05-01,Apple(Fuji),KG,300.00,250.00,275.00
2026-05-01,Banana,Per Dozen,220.00,180.00,200.00
2026-05-01,Lime,KG,380.00,370.00,375.00
2026-05-01,Pomegranate,KG,480.00,430.00,455.00
2026-05-01,Grapes(Green),KG,250.00,220.00,235.00
2026-05-01,Grapes(Black),KG,380.00,360.00,370.00
2026-05-01,Water Melon(Green),KG,45.00,35.00,40.00
2026-05-01,Pineapple,1 Pc,250.00,230.00,240.00
2026-05-01,Cucumber(Local),KG,50.00,35.00,44.17
2026-05-01,Cucumber(Hybrid),KG,20.00,10.00,15.00
2026-05-01,Cucumber(LocalCross),Kg,60.00,50.00,56.25
2026-05-01,Jack Fruit,KG,70.00,60.00,65.00
2026-05-01,Pear(Chinese),KG,250.00,230.00,240.00
2026-05-01,Papaya(Nepali),KG,80.00,70.00,75.00
2026-05-01,Papaya(Indian),KG,90.00,80.00,85.00
2026-05-01,Kiwi,KG,500.00,400.00,450.00
2026-05-01,Avocado,KG,800.00,700.00,750.00
2026-05-01,Ginger,KG,100.00,80.00,90.00
2026-05-01,Chilli Dry,KG,450.00,380.00,415.00
2026-05-01,Chilli Green,KG,70.00,60.00,65.00
2026-05-01,Chilli Green(Bullet),KG,55.00,45.00,50.00
2026-05-01,Chilli Green(Machhe),KG,60.00,45.00,52.50
2026-05-01,Chilli Green(Akbare),KG,600.00,500.00,550.00
2026-05-01,Capsicum,KG,70.00,50.00,57.50
2026-05-01,Garlic Green,KG,160.00,140.00,150.00
2026-05-01,Coriander Green,KG,60.00,50.00,55.00
2026-05-01,Garlic Dry Chinese,KG,200.00,180.00,190.00
2026-05-01,Garlic Dry Nepali,KG,120.00,100.00,110.00
2026-05-01,Fish Fresh(Rahu),KG,340.00,320.00,330.00
2026-05-01,Fish Fresh(Bachuwa),KG,310.00,300.00,305.00
2026-05-01,Fish Fresh(Chhadi),KG,300.00,280.00,290.00
