Date,Product,Unit,Max Price,Min Price,Avg Price
2026-05-20,Tomato Big(Nepali),KG,75.00,65.00,70.00
2026-05-20,Tomato Big(Indian),KG,80.00,70.00,75.00
2026-05-20,Tomato Small(Local),KG,58.00,50.00,53.33
2026-05-20,Tomato Small(Tunnel),KG,78.00,68.00,72.50
2026-05-20,Tomato Small(Indian),KG,60.00,50.00,55.00
2026-05-20,Tomato Small(Terai),KG,52.00,42.00,47.00
2026-05-20,Potato Red(Long),KG,30.00,25.00,27.50
2026-05-20,Potato Red(Round),KG,24.00,22.00,23.00
2026-05-20,Onion Dry (Indian),KG,37.00,35.00,36.00
2026-05-20,Carrot(Local),KG,60.00,50.00,55.00
2026-05-20,Cabbage(Local),KG,40.00,30.00,33.75
2026-05-20,Cauli Local,KG,50.00,30.00,38.75
2026-05-20,Raddish White(Hybrid),KG,25.00,14.00,18.00
2026-05-20,Brinjal Long,KG,45.00,30.00,38.75
2026-05-20,Brinjal Round,KG,55.00,45.00,48.33
2026-05-20,Cow pea(Long),KG,60.00,40.00,50.00
2026-05-20,Cowpea(Short),KG,90.00,80.00,85.00
2026-05-20,French Bean(Local),KG,80.00,70.00,75.00
2026-05-20,French Bean(Hybrid),KG,70.00,50.00,60.00
2026-05-20,Soyabean Green,KG,130.00,120.00,125.00
2026-05-20,Bitter Gourd,KG,70.00,50.00,60.00
2026-05-20,Bottle Gourd,KG,50.00,35.00,41.25
2026-05-20,Pointed Gourd(Local),KG,55.00,45.00,50.00
2026-05-20,Pointed Gourd(Terai),KG,50.00,45.00,47.50
2026-05-20,Snake Gourd,KG,45.00,30.00,37.50
2026-05-20,Smooth Gourd,KG,50.00,40.00,43.75
2026-05-20,Sponge Gourd,KG,75.00,65.00,70.00
2026-05-20,Pumpkin,KG,60.00,50.00,55.00
2026-05-20,Squash(Long),KG,40.00,30.00,35.00
2026-05-20,Squash(Round),KG,35.00,25.00,28.33
2026-05-20,Okra,KG,45.00,35.00,40.00
2026-05-20,Sweet Potato,KG,70.00,60.00,65.00
2026-05-20,Arum,KG,50.00,40.00,45.00
2026-05-20,Brd Leaf Mustard,KG,90.00,70.00,80.00
2026-05-20,Spinach Leaf,KG,120.00,100.00,110.00
2026-05-20,Cress Leaf,KG,120.00,110.00,115.00
2026-05-20,Mustard Leaf,KG,40.00,30.00,35.00
2026-05-20,Fenugreek Leaf,KG,100.00,90.00,95.00
2026-05-20,Onion Green,KG,150.00,100.00,125.00
2026-05-20,Mushroom(Kanya),KG,170.00,140.00,152.00
2026-05-20,Mushroom(Button),KG,350.00,300.00,325.00
2026-05-20,King Oyster,Kg,300.00,280.00,290.00
2026-05-20,Lentinula Edodes,Kg,1000.00,800.00,900.00
2026-05-20,Asparagus,KG,330.00,300.00,315.00
2026-05-20,Neuro,KG,80.00,70.00,75.00
2026-05-20,Broccoli,KG,100.00,70.00,85.00
2026-05-20,Sugarbeet,KG,60.00,50.00,55.00
2026-05-20,Drumstick,KG,120.00,100.00,110.00
2026-05-20,Red Cabbbage,KG,50.00,40.00,45.00
2026-05-20,Lettuce,KG,100.00,90.00,95.00
2026-05-20,Celery,KG,130.00,120.00,125.00
2026-05-20,Parsley,KG,300.00,250.00,275.00
2026-05-20,Fennel Leaf,KG,100.00,90.00,95.00
2026-05-20,Mint,KG,100.00,90.00,95.00
2026-05-20,Turnip A,KG,60.00,40.00,50.00
2026-05-20,Tamarind,KG,180.00,170.00,175.00
2026-05-20,Bamboo Shoot,KG,150.00,130.00,140.00
2026-05-20,Tofu,KG,150.00,130.00,140.00
2026-05-20,Gundruk,KG,300.00,200.00,250.00
2026-05-20,Apple(Jholey),KG,230.00,200.00,215.00
2026-05-20,Apple(Fuji),KG,300.00,250.00,275.00
2026-05-20,Banana(Nepali),Per Dozen,200.00,150.00,175.00
2026-05-20,Banana(Malbhog),Doz,220.00,200.00,210.00
2026-05-20,Lime,KG,280.00,260.00,270.00
2026-05-20,Pomegranate,KG,450.00,400.00,425.00
2026-05-20,Mango(Maldah),KG,250.00,200.00,225.00
2026-05-20,Grapes(Green),KG,320.00,300.00,310.00
2026-05-20,Water Melon(Green),KG,38.00,28.00,33.00
2026-05-20,Pineapple,1 Pc,230.00,210.00,220.00
2026-05-20,Cucumber(Local),KG,50.00,40.00,45.00
2026-05-20,Cucumber(Hybrid),KG,30.00,20.00,25.00
2026-05-20,Cucumber(LocalCross),Kg,50.00,30.00,36.67
2026-05-20,Jack Fruit,KG,70.00,60.00,65.00
2026-05-20,Papaya(Nepali),KG,90.00,80.00,85.00
2026-05-20,Papaya(Indian),KG,100.00,90.00,95.00
2026-05-20,Avocado,KG,800.00,700.00,750.00
2026-05-20,Ginger,KG,180.00,150.00,165.00
2026-05-20,Chilli Dry,KG,430.00,380.00,405.00
2026-05-20,Chilli Green(Long),KG,100.00,90.00,95.00
2026-05-20,Chilli Green(Bullet),KG,90.00,80.00,85.00
2026-05-20,Chilli Green(Machhe),KG,75.00,65.00,70.00
2026-05-20,Capsicum,KG,75.00,60.00,68.75
2026-05-20,Garlic Green,KG,200.00,170.00,185.00
2026-05-20,Coriander Green,KG,100.00,60.00,80.00
2026-05-20,Garlic Dry Chinese,KG,200.00,175.00,187.50
2026-05-20,Garlic Dry Nepali,KG,120.00,90.00,105.00
2026-05-20,Clive Dry,KG,140.00,100.00,120.00
2026-05-20,Fish Fresh(Rahu),KG,330.00,320.00,325.00
2026-05-20,Fish Fresh(Bachuwa),KG,310.00,300.00,305.00
2026-05-20,Fish Fresh(Chhadi),KG,260.00,250.00,255.00
