Date,Product,Unit,Max Price,Min Price,Avg Price
2026-08-12,Tomato Big(Nepali),KG,60.00,50.00,55.00
2026-08-12,Tomato Big(Indian),KG,80.00,70.00,75.00
2026-08-12,Tomato Small(Local),KG,40.00,30.00,33.33
2026-08-12,Tomato Small(Tunnel),KG,60.00,45.00,50.69
2026-08-12,Potato Red(Long),KG,51.00,48.00,49.60
2026-08-12,Potato Red(Round),KG,52.00,48.00,50.67
2026-08-12,Potato Red(Mude),KG,53.00,48.00,50.83
2026-08-12,Potato Red(Indian),KG,37.00,35.00,36.33
2026-08-12,Potato White,KG,36.00,33.00,34.40
2026-08-12,Onion Dry (Indian),KG,57.00,54.00,55.83
2026-08-12,Carrot(Local),KG,120.00,100.00,110.00
2026-08-12,Carrot(Terai),KG,80.00,70.00,75.00
2026-08-12,Cabbage(Local),KG,35.00,25.00,30.63
2026-08-12,Cauli Local,KG,90.00,80.00,86.67
2026-08-12,Raddish Red,KG,30.00,20.00,25.00
2026-08-12,Raddish White(Hybrid),KG,30.00,20.00,25.00
2026-08-12,Brinjal Long,KG,50.00,40.00,45.00
2026-08-12,Brinjal Round,KG,70.00,50.00,58.33
2026-08-12,Cow pea(Long),KG,90.00,80.00,85.00
2026-08-12,Cowpea(Short),KG,100.00,90.00,95.00
2026-08-12,French Bean(Local),KG,90.00,70.00,83.33
2026-08-12,French Bean(Hybrid),KG,90.00,70.00,83.33
2026-08-12,Sword Bean,KG,100.00,90.00,95.00
2026-08-12,Soyabean Green,KG,120.00,90.00,100.00
2026-08-12,Bitter Gourd,KG,50.00,40.00,45.00
2026-08-12,Bottle Gourd,KG,50.00,40.00,45.00
2026-08-12,Pointed Gourd(Local),KG,60.00,50.00,55.00
2026-08-12,Pointed Gourd(Terai),KG,60.00,50.00,55.00
2026-08-12,Snake Gourd,KG,30.00,20.00,25.00
2026-08-12,Smooth Gourd,KG,40.00,30.00,35.00
2026-08-12,Sponge Gourd,KG,60.00,50.00,55.00
2026-08-12,Pumpkin,KG,60.00,50.00,55.00
2026-08-12,Squash(Round),KG,50.00,40.00,45.00
2026-08-12,Okra,KG,50.00,40.00,45.71
2026-08-12,Sweet Potato,KG,120.00,100.00,110.00
2026-08-12,Arum,KG,100.00,90.00,95.00
2026-08-12,Christophine,KG,60.00,50.00,55.00
2026-08-12,Brd Leaf Mustard,KG,150.00,100.00,125.00
2026-08-12,Spinach Leaf,KG,250.00,200.00,225.00
2026-08-12,Mustard Leaf,KG,100.00,80.00,90.00
2026-08-12,Onion Green,KG,200.00,150.00,175.00
2026-08-12,Mushroom(Kanya),KG,300.00,250.00,275.00
2026-08-12,Mushroom(Button),KG,400.00,350.00,375.00
2026-08-12,King Oyster,Kg,330.00,300.00,315.00
2026-08-12,Lentinula Edodes,Kg,1000.00,800.00,900.00
2026-08-12,Asparagus,KG,500.00,400.00,450.00
2026-08-12,Neuro,KG,100.00,90.00,95.00
2026-08-12,Broccoli,KG,150.00,130.00,140.00
2026-08-12,Sugarbeet,KG,70.00,60.00,65.00
2026-08-12,Drumstick,KG,300.00,250.00,275.00
2026-08-12,Red Cabbbage,KG,40.00,30.00,35.00
2026-08-12,Lettuce,KG,400.00,300.00,333.33
2026-08-12,Celery,KG,250.00,200.00,225.00
2026-08-12,Parsley,KG,1500.00,1400.00,1450.00
2026-08-12,Fennel Leaf,KG,150.00,100.00,125.00
2026-08-12,Mint,KG,500.00,400.00,450.00
2026-08-12,Turnip A,KG,150.00,100.00,125.00
2026-08-12,Tamarind,KG,180.00,160.00,170.00
2026-08-12,Bamboo Shoot,KG,160.00,140.00,150.00
2026-08-12,Tofu,KG,160.00,140.00,150.00
2026-08-12,Gundruk,KG,350.00,300.00,325.00
2026-08-12,Apple(Fuji),KG,300.00,280.00,290.00
2026-08-12,Banana(Nepali),Per Dozen,300.00,250.00,275.00
2026-08-12,Banana(Malbhog),Doz,200.00,180.00,190.00
2026-08-12,Lime,KG,250.00,200.00,225.00
2026-08-12,Pomegranate,KG,400.00,300.00,350.00
2026-08-12,Mango(Maldah),KG,280.00,250.00,265.00
2026-08-12,Mango(Dushari),KG,250.00,230.00,240.00
