Date,Product,Unit,Max Price,Min Price,Avg Price
2024-08-02,Tomato Big(Nepali),KG,80.00,70.00,76.67
2024-08-02,Tomato Small(Local),KG,20.00,15.00,17.67
2024-08-02,Tomato Small(Tunnel),KG,34.00,25.00,29.40
2024-08-02,Potato Red,KG,70.00,65.00,68.00
2024-08-02,Potato Red(Indian),KG,57.00,55.00,56.00
2024-08-02,Potato Red(Mude),KG,55.00,52.00,54.00
2024-08-02,Potato White,KG,55.00,52.00,53.50
2024-08-02,Onion Dry (Indian),KG,85.00,80.00,83.00
2024-08-02,Carrot(Local),KG,120.00,110.00,115.00
2024-08-02,Carrot(Terai),KG,100.00,90.00,95.00
2024-08-02,Cabbage(Local),KG,70.00,60.00,66.67
2024-08-02,Cauli Local,KG,90.00,80.00,86.00
2024-08-02,Cauli Local(Jyapu),KG,100.00,90.00,95.00
2024-08-02,Raddish Red,KG,30.00,25.00,27.50
2024-08-02,Raddish White(Local),KG,15.00,10.00,12.50
2024-08-02,Raddish White(Hybrid),KG,25.00,15.00,20.00
2024-08-02,Brinjal Long,KG,50.00,40.00,46.00
2024-08-02,Brinjal Round,KG,60.00,50.00,56.67
2024-08-02,Cow pea(Long),KG,60.00,50.00,54.00
2024-08-02,Cowpea(Short),KG,100.00,90.00,96.67
2024-08-02,French Bean(Local),KG,50.00,40.00,46.00
2024-08-02,French Bean(Hybrid),KG,50.00,40.00,45.00
2024-08-02,French Bean(Rajma),KG,140.00,120.00,130.00
2024-08-02,Sword Bean,KG,120.00,110.00,116.67
2024-08-02,Soyabean Green,KG,180.00,160.00,170.00
2024-08-02,Bitter Gourd,KG,50.00,40.00,44.00
2024-08-02,Bottle Gourd,KG,30.00,20.00,25.00
2024-08-02,Pointed Gourd(Local),KG,60.00,50.00,56.00
2024-08-02,Pointed Gourd(Terai),KG,60.00,50.00,55.00
2024-08-02,Snake Gourd,KG,60.00,50.00,55.00
2024-08-02,Smooth Gourd,KG,40.00,30.00,35.00
2024-08-02,Sponge Gourd,KG,70.00,60.00,66.67
2024-08-02,Pumpkin,KG,60.00,55.00,58.33
2024-08-02,Squash(Round),KG,70.00,60.00,65.00
2024-08-02,Okara,KG,40.00,30.00,35.00
2024-08-02,Arum,KG,90.00,80.00,86.67
2024-08-02,Christophine,KG,60.00,50.00,56.67
2024-08-02,Brd Leaf Mustard,KG,90.00,80.00,86.67
2024-08-02,Mustard Leaf,KG,70.00,60.00,65.00
2024-08-02,Onion Green,KG,180.00,150.00,170.00
2024-08-02,Mushroom(Kanya),KG,220.00,180.00,200.00
2024-08-02,Mushroom(Button),KG,380.00,340.00,352.00
2024-08-02,Asparagus,KG,450.00,400.00,425.00
2024-08-02,Neuro,KG,90.00,80.00,86.67
2024-08-02,Brocauli,KG,200.00,180.00,190.00
2024-08-02,Sugarbeet,KG,70.00,60.00,66.67
2024-08-02,Red Cabbbage,KG,90.00,80.00,85.00
2024-08-02,Lettuce,KG,450.00,400.00,425.00
2024-08-02,Celery,KG,300.00,250.00,275.00
2024-08-02,Parseley,KG,700.00,600.00,650.00
2024-08-02,Mint,KG,550.00,500.00,525.00
2024-08-02,Turnip A,KG,90.00,80.00,85.00
2024-08-02,Tamarind,KG,160.00,150.00,156.67
2024-08-02,Bamboo Shoot,KG,110.00,100.00,106.67
2024-08-02,Tofu,KG,160.00,150.00,156.67
2024-08-02,Gundruk,KG,300.00,250.00,275.00
2024-08-02,Apple(Fuji),KG,320.00,300.00,310.00
2024-08-02,Banana,Per Dozen,150.00,140.00,146.67
2024-08-02,Lime,KG,260.00,200.00,235.00
2024-08-02,Pomegranate,KG,400.00,380.00,390.00
2024-08-02,Mango(Maldah),KG,150.00,140.00,146.67
2024-08-02,Mango(Chousa),KG,150.00,140.00,146.67
2024-08-02,Grapes(Black),KG,450.00,400.00,425.00
2024-08-02,Water Melon(Green),KG,60.00,50.00,56.67
2024-08-02,Sweet Orange,KG,150.00,140.00,146.67
2024-08-02,Mandarin,KG,300.00,280.00,290.00
2024-08-02,Pineapple,1 Pc,180.00,160.00,170.00
2024-08-02,Cucumber(Local),KG,80.00,70.00,76.00
2024-08-02,Cucumber(Hybrid),KG,35.00,25.00,30.00
2024-08-02,Jack Fruit,KG,45.00,35.00,40.00
2024-08-02,Pear(Local),KG,110.00,100.00,106.67
2024-08-02,Pear(Chinese),KG,300.00,280.00,290.00
2024-08-02,Papaya(Indian),KG,100.00,90.00,96.67
2024-08-02,Mombin,KG,70.00,60.00,65.00
2024-08-02,Kiwi,KG,600.00,550.00,575.00
2024-08-02,Avocado,KG,650.00,600.00,625.00
2024-08-02,Ginger,KG,210.00,190.00,200.00
2024-08-02,Chilli Dry,KG,450.00,400.00,425.00
2024-08-02,Chilli Green,KG,100.00,90.00,96.00
2024-08-02,Chilli Green(Bullet),KG,100.00,90.00,96.00
2024-08-02,Chilli Green(Machhe),KG,80.00,70.00,76.67
2024-08-02,Chilli Green(Akbare),KG,400.00,300.00,350.00
2024-08-02,Capsicum,KG,120.00,100.00,114.00
2024-08-02,Garlic Green,KG,180.00,150.00,170.00
2024-08-02,Coriander Green,KG,250.00,200.00,230.00
2024-08-02,Garlic Dry Chinese,KG,250.00,240.00,246.00
2024-08-02,Garlic Dry Nepali,KG,230.00,220.00,226.67
2024-08-02,Clive Dry,KG,160.00,150.00,155.00
2024-08-02,Clive Green,KG,200.00,180.00,190.00
2024-08-02,Fish Fresh(Rahu),KG,350.00,340.00,345.00
2024-08-02,Fish Fresh(Bachuwa),KG,250.00,240.00,246.67
2024-08-02,Fish Fresh(Chhadi),KG,250.00,230.00,240.00
2024-08-02,King Oyster,Kg,300.00,280.00,290.00
2024-08-02,Lentinula Edodes,Kg,1000.00,950.00,975.00
