Date,Product,Unit,Max Price,Min Price,Avg Price
2026-01-02,Tomato Big(Nepali),KG,120.00,100.00,110.00
2026-01-02,Tomato Big(Indian),KG,120.00,110.00,115.00
2026-01-02,Tomato Small(Local),KG,90.00,70.00,77.50
2026-01-02,Tomato Small(Tunnel),KG,90.00,80.00,87.00
2026-01-02,Tomato Small(Indian),KG,100.00,90.00,95.00
2026-01-02,Tomato Small(Terai),KG,100.00,90.00,93.75
2026-01-02,Potato Red,KG,32.00,25.00,30.14
2026-01-02,Potato Red(Indian),KG,27.00,24.00,25.50
2026-01-02,Onion Dry (Indian),KG,55.00,50.00,52.50
2026-01-02,Carrot(Local),KG,80.00,70.00,75.00
2026-01-02,Carrot(Terai),KG,70.00,60.00,65.00
2026-01-02,Cabbage(Local),KG,45.00,35.00,40.00
2026-01-02,Cabbage(Terai),KG,35.00,25.00,30.00
2026-01-02,Cabbage,KG,40.00,30.00,36.67
2026-01-02,Cauli Local,KG,70.00,55.00,61.00
2026-01-02,Cauli Local(Jyapu),KG,80.00,70.00,75.00
2026-01-02,Cauli Terai,KG,55.00,45.00,50.00
2026-01-02,Raddish Red,KG,40.00,30.00,36.25
2026-01-02,Raddish White(Local),KG,25.00,16.00,19.75
2026-01-02,Raddish White(Hybrid),KG,30.00,22.00,26.25
2026-01-02,Brinjal Long,KG,60.00,50.00,55.00
2026-01-02,Brinjal Round,KG,70.00,50.00,60.00
2026-01-02,Cowpea(Short),KG,60.00,50.00,55.00
2026-01-02,Green Peas,KG,90.00,60.00,73.33
2026-01-02,French Bean(Local),KG,100.00,80.00,90.00
2026-01-02,French Bean(Hybrid),KG,90.00,80.00,85.00
2026-01-02,French Bean(Rajma),KG,150.00,140.00,145.00
2026-01-02,Sword Bean,KG,70.00,60.00,65.00
2026-01-02,Bitter Gourd,KG,110.00,100.00,105.00
2026-01-02,Bottle Gourd,KG,70.00,60.00,65.00
2026-01-02,Pointed Gourd(Terai),KG,160.00,145.00,153.75
2026-01-02,Smooth Gourd,KG,110.00,90.00,100.00
2026-01-02,Pumpkin,KG,40.00,30.00,35.00
2026-01-02,Squash(Long),KG,40.00,35.00,37.50
2026-01-02,Squash(Round),KG,40.00,35.00,37.50
2026-01-02,Turnip,KG,90.00,80.00,85.00
2026-01-02,Okra,KG,110.00,100.00,105.00
2026-01-02,Sweet Potato,KG,80.00,60.00,70.00
2026-01-02,Barela,KG,60.00,40.00,50.00
2026-01-02,Arum,KG,90.00,70.00,78.75
2026-01-02,Christophine,KG,30.00,25.00,27.50
2026-01-02,Brd Leaf Mustard,KG,50.00,20.00,29.38
2026-01-02,Spinach Leaf,KG,70.00,60.00,65.00
2026-01-02,Cress Leaf,KG,80.00,60.00,70.00
2026-01-02,Mustard Leaf,KG,50.00,40.00,45.00
2026-01-02,Fenugreek Leaf,KG,100.00,80.00,90.00
2026-01-02,Onion Green,KG,60.00,35.00,43.57
2026-01-02,Bakula,KG,110.00,80.00,95.00
2026-01-02,Yam,KG,70.00,60.00,65.00
2026-01-02,Mushroom(Kanya),KG,120.00,90.00,105.00
2026-01-02,Mushroom(Button),KG,350.00,300.00,325.00
2026-01-02,Asparagus,KG,2200.00,1800.00,2000.00
2026-01-02,Broccoli,KG,120.00,80.00,97.50
2026-01-02,Sugarbeet,KG,80.00,70.00,75.00
2026-01-02,Red Cabbbage,KG,200.00,180.00,190.00
2026-01-02,Lettuce,KG,150.00,120.00,135.00
2026-01-02,Knolkhol,KG,85.00,70.00,77.50
2026-01-02,Celery,KG,300.00,250.00,275.00
2026-01-02,Parsley,KG,700.00,600.00,650.00
2026-01-02,Fennel Leaf,KG,90.00,70.00,80.00
2026-01-02,Mint,KG,500.00,400.00,450.00
