Date,Product,Unit,Max Price,Min Price,Avg Price
2025-05-07,Tomato Big(Indian),KG,70.00,60.00,65.00
2025-05-07,Tomato Small(Local),KG,52.00,40.00,46.25
2025-05-07,Tomato Small(Indian),KG,52.00,44.00,47.50
2025-05-07,Tomato Small(Terai),KG,44.00,35.00,39.67
2025-05-07,Potato Red,KG,35.00,30.00,32.33
2025-05-07,Potato Red(Indian),KG,38.00,32.00,35.00
2025-05-07,Onion Dry (Indian),KG,38.00,36.00,37.00
2025-05-07,Carrot(Local),KG,60.00,40.00,50.00
2025-05-07,Carrot(Terai),KG,25.00,15.00,20.00
2025-05-07,Cabbage(Local),KG,15.00,10.00,12.33
2025-05-07,Cabbage,KG,20.00,15.00,17.67
2025-05-07,Cauli Local,KG,50.00,40.00,45.00
2025-05-07,Raddish Red,KG,40.00,30.00,35.00
2025-05-07,Raddish White(Local),KG,20.00,15.00,17.67
2025-05-07,Raddish White(Hybrid),KG,30.00,20.00,25.00
2025-05-07,Brinjal Long,KG,40.00,20.00,30.00
2025-05-07,Brinjal Round,KG,40.00,30.00,35.00
2025-05-07,Cow pea(Long),KG,70.00,60.00,65.00
2025-05-07,Green Peas,KG,90.00,80.00,85.00
2025-05-07,French Bean(Local),KG,60.00,50.00,55.00
2025-05-07,French Bean(Hybrid),KG,60.00,50.00,55.00
2025-05-07,Soyabean Green,KG,150.00,100.00,125.00
2025-05-07,Bitter Gourd,KG,30.00,15.00,22.50
2025-05-07,Bottle Gourd,KG,30.00,15.00,22.50
2025-05-07,Pointed Gourd(Local),KG,60.00,50.00,55.00
2025-05-07,Snake Gourd,KG,40.00,30.00,35.00
2025-05-07,Smooth Gourd,KG,35.00,30.00,32.33
2025-05-07,Sponge Gourd,KG,70.00,60.00,65.00
2025-05-07,Pumpkin,KG,50.00,40.00,45.00
2025-05-07,Squash(Long),KG,25.00,15.00,20.00
2025-05-07,Squash(Round),KG,30.00,20.00,25.00
2025-05-07,Turnip,KG,80.00,70.00,75.00
2025-05-07,Okara,KG,40.00,30.00,35.00
2025-05-07,Sweet Potato,KG,60.00,50.00,55.00
2025-05-07,Barela,KG,50.00,40.00,45.00
2025-05-07,Arum,KG,90.00,80.00,85.00
2025-05-07,Christophine,KG,50.00,40.00,45.00
2025-05-07,Brd Leaf Mustard,KG,60.00,50.00,55.00
2025-05-07,Spinach Leaf,KG,90.00,80.00,85.00
2025-05-07,Cress Leaf,KG,90.00,80.00,85.00
2025-05-07,Mustard Leaf,KG,35.00,20.00,27.50
2025-05-07,Fenugreek Leaf,KG,80.00,70.00,75.00
2025-05-07,Onion Green,KG,60.00,40.00,50.00
2025-05-07,Bakula,KG,50.00,45.00,47.67
2025-05-07,Yam,KG,100.00,90.00,95.00
2025-05-07,Mushroom(Kanya),KG,170.00,150.00,160.00
2025-05-07,Mushroom(Button),KG,350.00,300.00,325.00
2025-05-07,Asparagus,KG,600.00,300.00,450.00
2025-05-07,Neuro,KG,50.00,40.00,45.00
2025-05-07,Brocauli,KG,90.00,50.00,70.00
2025-05-07,Sugarbeet,KG,60.00,50.00,55.00
2025-05-07,Drumstick,KG,100.00,80.00,90.00
2025-05-07,Bauhania flower,KG,190.00,170.00,180.00
2025-05-07,Red Cabbbage,KG,60.00,40.00,50.00
